date,production
1,1791
2,625
3,2202
4,6424
5,3411
6,457
7,2200
8,6696
9,11422
10,3366
11,2483
12,5822
13,7955
14,9342
15,8891
16,4914
17,9504
18,3426
19,6833
20,3250
21,11078
22,9553
23,6467
24,3306
25,9871
26,8186
27,12797
28,15865
29,12183
30,3518
31,14078
32,13891
33,5578
34,2705
35,7336
36,8051
37,19992
38,3408
39,12953
40,14199
41,7836
42,13552
43,23503
44,24854
45,7070
46,8825
47,14503
48,8201
49,21989
50,3497
51,12082
52,18298
53,6153
54,31899
55,26451
56,32774
57,16949
58,6915
59,3783
60,24955
61,8052
62,16287
63,14360
64,30529
65,23611
66,17661
67,11392
68,34491
69,33322
70,11580
71,30730
72,24281
73,9142
74,27295
75,28617
76,13091
77,25078
78,12103
79,15627
80,14556
81,34008
82,11139
83,38367
84,28754
85,25552
86,37331
87,14734
88,31941
89,22854
90,43511
91,39250
92,35972
93,12648
94,45165
95,36986
96,49697
97,48705
98,37951
99,34227
100,27059
101,36695
102,29999
103,28322
104,39416
105,56119
106,39490
107,56708
108,12506
109,51456
110,18636
111,40220
112,48090
113,57851
114,53803
115,33159
116,47406
117,53581
118,36085
119,50609
120,45973
121,47497
122,19702
123,20476
124,47734
125,13268
126,25270
127,25002
128,43885
129,50661
130,49718
131,60847
132,20993
133,55941
134,44517
135,16938
136,47673
137,45355
138,59146
139,57591
140,41596
141,66499
142,64195
143,56751
144,30506
145,52403
146,31151
147,54845
148,29799
149,11450
150,31013
151,63025
152,38653
153,43456
154,29058
155,49072
156,22687
157,41264
158,53809
159,55566
160,15000
161,26624
162,46701
163,24729
164,24693
165,34571
166,30331
167,55922
168,13222
169,24079
170,45898
171,26339
172,62656
173,29085
174,65073
175,69002
176,67193
177,66907
178,61698
179,26464
180,28006
181,57971
182,67409
183,35600
184,6272
185,55408
186,50028
187,39808
188,61867
189,55002
190,56006
191,59335
192,65933
193,65680
194,66935
195,66424
196,64325
197,33456
198,30970
199,42112
200,64769
